company,url,listingNo,ListingAddr,ListingTittle,ExistOnHougarden,ExistOnOneroof
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/townhouse/780908,780908,"Lot 4/292 Blockhouse Bay Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/unit/777613,777613,"48/68 Fonteyn Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/unit/780493,780493,"2/294 Rosebank Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/774043,774043,"112a Taylor Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/777045,777045,"Lot3/24 Ulster Road, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/777051,777051,"Lot 1/24 Ulster Road, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/777077,777077,"Lot 2/ 24 Ulster Road, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/777538,777538,"15/17 Matata Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/777863,777863,"73A Donovan Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/778576,778576,"LOT 2 / 51 Exminster Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/778645,778645,"56C Connell Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/779659,779659,"15C Matata Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/779730,779730,"421 Blockhouse Bay Road, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/780311,780311,"41 Holbrook Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/780599,780599,"14L Kinross Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/780681,780681,"5/9 Margate Road, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/house/780901,780901,"Lot3/113 Taylor Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/section/778739,778739,"38A Endeavour Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/townhouse/778701,778701,"Lot1/10 Busby Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/townhouse/778707,778707,"Lot3/10 Busby Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/blockhouse-bay/townhouse/778715,778715,"Lot2/10 Busby Street, Blockhouse Bay",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/775629,775629,"G404/10 Waterloo Quadrant, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/552067,552067,"217/145-147 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/553327,553327,"145-147 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/556277,556277,"202/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/556330,556330,"218/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/556380,556380,"302/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/556683,556683,"1002/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/573962,573962,"207/70-74 Anzac Avenue, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/573969,573969,"705/70-74 Anzac Avenue, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/577923,577923,"703/147 Victoria Street West, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/584053,584053,"605/70-74 Anzac Avenue, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/586780,586780,"403b/147-149 Victoria Street West, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/586788,586788,"406/147-149 Victoria Street West, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/589923,589923,"5H/205 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/596731,596731,"6B/45 Randolph Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/601630,601630,"907/70-74 Anzac Avenue, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/759481,759481,"7C/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/760360,760360,"801/15-17 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/760373,760373,"13G/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/760422,760422,"9C/34 Kingston Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/763732,763732,"405/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/763782,763782,"4F/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/765289,765289,"1401/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/765628,765628,"1509/438 Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/766125,766125,"1009/438 Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/767128,767128,"1204/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/767198,767198,"8G/45 Randolph Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768049,768049,"301/15-17 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768065,768065,"1209/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768087,768087,"1306/15-17 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768090,768090,"910/15-17 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768255,768255,"111/10 Lion Place, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768301,768301,"5E/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768702,768702,"1104/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/768823,768823,"11B/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/769502,769502,"Unit 9 Level 13/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/769576,769576,"401/168 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/769592,769592,"507/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/769948,769948,"310/135 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/770644,770644,"3E/62 Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/771247,771247,"3101/8 Albert Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/771295,771295,"Level 3, 3A & 3B/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/771599,771599,"907/438 Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/771711,771711,"302/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/771871,771871,"505/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/772052,772052,"2K/22 Pakenham Street East, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/772332,772332,"609/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/772353,772353,"G12/188 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/772644,772644,"1013/39 Beach Road, City Centre",,Yes,No
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/772753,772753,"203/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/773023,773023,"603/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/773543,773543,"1106/2 Beach Road, City Centre",,Yes,No
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/773763,773763,"9C/4 St Paul Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774185,774185,"2F/14 Upper Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774200,774200,"1406/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774226,774226,"12F/1 Emily Place, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774731,774731,"115/77 Halsey Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774735,774735,"203/79 Halsey Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774821,774821,"26B/16 Gore Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/774825,774825,"1109/152 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775167,775167,"501/149 Victoria Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775210,775210,"203/168 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775216,775216,"1307/22 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775230,775230,"438/35 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775410,775410,"4H/30 Symonds Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775540,775540,"2J/205 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775595,775595,"609/39-47 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775596,775596,"801/39-47 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775794,775794,"1101/168 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/775822,775822,"212/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776030,776030,"605/39 Beach Road, City Centre",,Yes,No
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776152,776152,"903/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776175,776175,"2112/26 Albert Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776355,776355,"203/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776389,776389,"301/11 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776418,776418,"415/147 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776427,776427,"11G/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776721,776721,"1106/39 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/776858,776858,"1106/147 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777120,777120,"701/76 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777125,777125,"1712/26 Albert Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777286,777286,"9A/16 Gore Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777424,777424,"1009/27 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777757,777757,"3A/22 Emily Place, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777763,777763,"104/75 Halsey Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777828,777828,"612/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777857,777857,"608/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/777872,777872,"808B/147-149 Victoria Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778139,778139,"1801/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778140,778140,"1804/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778147,778147,"813/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778218,778218,"808/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778392,778392,"GE/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778398,778398,"1H/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778405,778405,"1303/8 Albert Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778433,778433,"903/8 Albert Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778447,778447,"6A/32 Liverpool Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778461,778461,"410/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778581,778581,"6G/36 Day Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778622,778622,"7H/156 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778639,778639,"409/15 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778660,778660,"1209/15 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778691,778691,"31B Sale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778734,778734,"1202/168 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778746,778746,"1203/168 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/778856,778856,"1003/27 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779011,779011,"G05/438 Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779112,779112,"2206/10 Waterloo Quadrant, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779119,779119,"G8/135 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779132,779132,"721/430 Queen Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779175,779175,"9D/34 Kingston Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779358,779358,"1802/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779466,779466,"1803/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779473,779473,"1606/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779477,779477,"15G/1 Emily Place, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779494,779494,"606/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779496,779496,"406/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779497,779497,"403/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779498,779498,"603/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779499,779499,"706/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779518,779518,"506/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779520,779520,"306/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779523,779523,"703/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779525,779525,"503/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779527,779527,"303/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779547,779547,"319/147 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779634,779634,"704/188 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779644,779644,"4B/30 Liverpool Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779664,779664,"1215/135 Hobson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779666,779666,"5E/25 Rutland Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779699,779699,"205-72 Nelson Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779716,779716,"1213(A/B)/106 Vincent Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779748,779748,"4E/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779757,779757,"15G/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779761,779761,"15B/57-59 Wakefield Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779870,779870,"806/79 Airedale Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779879,779879,"1404/39 Beach Road, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779906,779906,"6C/25 Rutland Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779954,779954,"709/27 Union Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779963,779963,"708/70 Anzac Avenue, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779964,779964,"1805/26 Albert Street, City Centre",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/city-centre/apartment/779986,779986,"505/39 Beach Road, City Centre",,Yes,Yes
